,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,discountlevel
145,12,87.62,1,0,Urban,1,Phone,Discount,0,13.3945521
146,3,29.99,1,0,Surburban,0,Phone,Discount,0,4.125967155
150,2,29.99,0,1,Surburban,0,Phone,Discount,0,9.843431412
152,7,229.53,1,0,Surburban,0,Web,Discount,1,27.02465032
158,5,29.99,0,1,Surburban,1,Phone,Discount,1,22.5926034
164,1,29.99,0,1,Urban,1,Web,Discount,0,3.497707407
165,12,284.54,1,1,Surburban,0,Web,Discount,0,11.83465205
167,4,1089.77,1,0,Urban,1,Multichannel,Discount,0,7.123627048
173,1,790.36,1,1,Urban,1,Multichannel,Discount,0,13.5586017
175,12,271.89,1,0,Rural,0,Web,Discount,0,13.97781612
177,3,39.83,0,1,Urban,1,Phone,Discount,1,20.59468051
179,5,269.99,1,1,Surburban,0,Phone,Discount,0,8.094111032
184,9,116.3,1,0,Rural,1,Web,Discount,1,20.75153684
188,7,39.78,0,1,Surburban,0,Web,Discount,0,15.98874514
190,1,720.17,1,1,Urban,1,Phone,Discount,0,11.60122128
191,4,69.08,0,1,Urban,0,Phone,Discount,0,4.998330832
194,10,307.64,0,1,Urban,0,Multichannel,Discount,0,15.69491593
195,7,481.56,1,0,Surburban,0,Web,Discount,0,14.61711868
198,5,425.1,1,0,Rural,1,Phone,Discount,0,12.16305815
206,8,575.62,1,1,Urban,1,Multichannel,Discount,0,9.290203247
215,7,29.99,1,0,Surburban,1,Web,Discount,0,12.30186186
219,8,336.76,0,1,Surburban,0,Phone,Discount,0,13.87721596
222,4,52.12,1,0,Urban,0,Phone,Discount,0,10.39772915
223,7,406.7,0,1,Surburban,1,Phone,Discount,0,10.09219419
225,1,181.98,0,1,Urban,1,Web,Discount,0,12.33482679
231,6,29.99,0,1,Urban,1,Web,Discount,0,11.00621992
234,3,65.26,1,0,Urban,0,Web,Discount,1,27.35975518
239,7,69.44,1,0,Rural,0,Web,Discount,1,21.82187002
244,5,354.03,1,0,Urban,0,Web,Discount,0,6.275419897
246,11,120.14,1,0,Urban,0,Web,Discount,0,13.19080441
250,11,81.06,1,0,Urban,0,Web,Discount,0,15.76888756
251,10,55.11,1,0,Urban,1,Web,Discount,0,9.878583485
252,1,513.83,0,1,Surburban,1,Multichannel,Discount,0,11.17487178
254,1,33.5,1,0,Surburban,0,Web,Discount,0,6.402257531
255,2,56.25,1,0,Surburban,1,Phone,Discount,0,16.29269177
264,3,67.4,1,0,Surburban,0,Web,Discount,0,4.199485316
266,10,54.25,0,1,Surburban,0,Web,Discount,0,8.954561621
270,7,329.26,0,1,Urban,0,Web,Discount,0,14.76253649
271,1,29.99,1,0,Rural,1,Phone,Discount,0,10.54875696
273,5,39.52,1,0,Surburban,1,Phone,Discount,0,5.894185375
275,6,92.32,0,1,Urban,0,Phone,Discount,0,10.07467033
279,10,375.9,0,1,Urban,0,Web,Discount,0,16.20556941
280,9,29.99,1,0,Urban,0,Web,Discount,0,7.999558644
281,9,220.51,1,0,Urban,0,Multichannel,Discount,0,12.13405043
283,6,78.69,0,1,Surburban,0,Phone,Discount,0,4.876076694
286,1,179.63,1,0,Surburban,0,Phone,Discount,1,23.32366137
288,8,59.76,0,1,Urban,1,Web,Discount,0,14.06644351
292,4,320.17,0,1,Urban,1,Phone,Discount,0,12.72948701
293,1,103.07,1,0,Surburban,0,Web,Discount,0,11.61119782
296,2,90.91,1,0,Surburban,0,Web,Discount,0,11.26982824
299,10,139.83,1,0,Urban,1,Phone,Discount,0,6.987755959
302,1,470.65,1,0,Urban,0,Phone,Discount,0,2.024223774
303,1,59.13,1,0,Urban,1,Web,Discount,0,10.71230933
305,1,399.72,1,1,Surburban,0,Phone,Discount,1,22.63777409
308,4,134.24,0,1,Urban,0,Web,Discount,1,27.09411015
309,10,290.55,0,1,Surburban,0,Web,Discount,0,17.9487285
311,4,87.69,1,0,Surburban,0,Web,Discount,0,13.57740988
317,4,49.8,1,0,Urban,1,Web,Discount,0,8.758772403
320,1,253.18,0,1,Surburban,0,Multichannel,Discount,0,7.468830934
321,2,156.4,0,1,Surburban,0,Web,Discount,0,9.928005941
326,11,140.07,0,1,Urban,1,Web,Discount,0,13.68699897
332,3,188.19,1,0,Urban,0,Phone,Discount,1,27.70340151
334,1,35.23,1,0,Urban,1,Phone,Discount,0,15.80639971
337,6,232.94,1,0,Surburban,1,Multichannel,Discount,0,7.187256179
342,1,1281.48,1,0,Urban,1,Phone,Discount,0,8.961823639
344,3,542.16,1,0,Urban,1,Phone,Discount,1,27.15547061
346,6,507.25,0,1,Urban,1,Phone,Discount,0,2.543152296
347,10,29.99,1,0,Rural,0,Web,Discount,0,12.77450253
349,7,60.02,1,0,Surburban,1,Phone,Discount,0,11.05533899
355,6,98.8,0,1,Rural,1,Phone,Discount,1,27.33193739
357,5,556.5,0,1,Rural,1,Web,Discount,0,9.86710774
361,9,172.14,0,1,Urban,0,Phone,Discount,0,7.950714553
366,8,267.25,0,1,Surburban,0,Phone,Discount,0,11.93169658
372,4,72.66,0,1,Surburban,1,Phone,Discount,0,6.689424257
376,10,62.63,0,1,Surburban,1,Phone,Discount,0,8.278160129
380,9,54.34,1,0,Surburban,0,Phone,Discount,1,22.28542534
381,5,247.82,1,0,Urban,0,Phone,Discount,0,4.819577792
382,11,178.56,1,0,Urban,0,Phone,Discount,0,13.73021932
383,2,86.38,1,0,Urban,1,Web,Discount,0,13.64458179
389,10,57.71,0,1,Surburban,0,Web,Discount,0,11.91599414
391,6,40.24,1,0,Surburban,1,Phone,Discount,0,18.31765585
392,9,535.17,0,1,Surburban,1,Web,Discount,0,8.824149251
394,1,29.99,1,0,Urban,1,Phone,Discount,0,6.728631663
398,3,68.81,0,1,Urban,0,Phone,Discount,0,9.86897156
407,7,578.35,0,1,Surburban,1,Web,Discount,1,27.17046885
414,4,474.94,0,1,Urban,1,Web,Discount,0,2.806131949
418,6,32.17,1,0,Urban,1,Phone,Discount,0,8.339745721
422,8,1137.96,0,1,Surburban,1,Phone,Discount,0,9.227197725
425,3,177.36,0,1,Surburban,1,Web,Discount,0,14.70366309
433,7,348.44,0,1,Surburban,1,Web,Discount,0,13.15558804
434,11,29.99,0,1,Rural,0,Web,Discount,0,9.944487685
437,9,129.46,1,0,Urban,1,Phone,Discount,0,12.01452519
440,4,218.92,0,1,Surburban,0,Web,Discount,1,29.01359645
441,3,109.34,0,1,Surburban,0,Phone,Discount,0,12.01696676
442,2,32.18,1,0,Surburban,1,Web,Discount,0,10.73652821
447,5,728.99,1,0,Urban,1,Web,Discount,0,18.62724124
448,9,483.16,1,1,Urban,0,Phone,Discount,1,26.45922219
462,1,89.59,0,1,Surburban,1,Web,Discount,0,14.70643012
471,9,302.52,1,0,Urban,0,Phone,Discount,0,16.0884795
480,5,29.99,0,1,Urban,0,Web,Discount,0,12.73670572
481,1,386.11,1,1,Urban,0,Multichannel,Discount,0,10.34625974
485,9,205.33,1,0,Surburban,1,Multichannel,Discount,0,12.78408274
486,1,629.85,1,0,Urban,1,Web,Discount,1,24.84876146
489,9,383.77,0,1,Surburban,1,Phone,Discount,1,23.4500299
492,12,63.28,1,0,Urban,1,Phone,Discount,0,6.783736482
493,6,108.83,1,0,Urban,0,Phone,Discount,0,8.438392938
495,10,489.29,0,1,Surburban,0,Phone,Discount,0,12.30195916
496,2,199.97,0,1,Surburban,0,Phone,Discount,0,6.918436081
499,9,199.38,0,1,Urban,1,Phone,Discount,0,8.288355123
502,3,66.47,1,0,Rural,1,Web,Discount,0,6.117580485
509,12,90.15,1,0,Surburban,0,Web,Discount,0,6.402066684
511,1,681.12,1,0,Rural,1,Phone,Discount,0,4.670196078
514,2,378.5,0,1,Urban,0,Web,Discount,1,29.29516362
529,9,89.96,1,0,Surburban,0,Web,Discount,1,23.39235641
533,8,135.67,1,0,Rural,1,Web,Discount,0,10.69093337
541,12,36.67,0,1,Urban,0,Web,Discount,1,27.58352377
543,1,563.7,1,0,Surburban,1,Multichannel,Discount,0,8.887158478
544,6,265.2,1,0,Surburban,0,Phone,Discount,0,7.729296855
546,11,206.97,1,0,Surburban,0,Web,Discount,0,7.322885028
547,7,1222.53,1,1,Rural,1,Phone,Discount,1,27.58301328
548,5,67.55,1,0,Surburban,0,Phone,Discount,0,16.72782371
549,9,108.59,1,0,Rural,1,Web,Discount,0,1.018152815
551,7,153.17,1,0,Rural,0,Phone,Discount,0,11.73941277
556,12,145.27,1,0,Urban,1,Web,Discount,0,0.394569658
566,6,65.1,1,0,Urban,0,Phone,Discount,0,10.87943013
568,9,297.59,0,1,Surburban,1,Phone,Discount,1,25.11761244
569,7,409.76,1,1,Urban,0,Multichannel,Discount,0,8.968394924
570,9,60.15,0,1,Surburban,0,Web,Discount,0,6.235421611
573,1,87,0,1,Rural,1,Phone,Discount,0,11.93007211
578,3,708.62,0,1,Surburban,1,Phone,Discount,0,9.390848319
579,3,29.99,1,0,Urban,1,Phone,Discount,0,10.62913612
582,4,737.33,0,1,Surburban,1,Web,Discount,0,12.25872668
583,12,29.99,1,0,Urban,1,Web,Discount,0,9.382908091
587,11,29.99,0,1,Surburban,0,Web,Discount,0,7.673361996
588,7,758.59,0,1,Surburban,1,Web,Discount,0,14.12180757
589,4,174.55,1,0,Rural,1,Web,Discount,0,10.6686536
591,6,334.34,0,1,Rural,0,Multichannel,Discount,1,20.05289344
592,12,108.83,1,0,Rural,0,Web,Discount,1,23.35382228
593,10,319.45,0,1,Urban,0,Phone,Discount,0,10.98873676
594,10,29.99,1,0,Surburban,1,Web,Discount,0,5.276700557
597,10,102.82,1,0,Surburban,1,Web,Discount,0,11.53464736
599,4,739.84,1,0,Urban,1,Phone,Discount,0,10.35019219
601,6,161.43,0,1,Surburban,0,Web,Discount,1,25.80091764
604,10,51.33,1,0,Surburban,1,Web,Discount,0,2.749113673
605,2,159.22,0,1,Surburban,0,Web,Discount,0,7.659689209
609,10,163.8,0,1,Urban,1,Web,Discount,0,5.798929894
611,7,147.81,1,0,Surburban,1,Web,Discount,0,9.871824264
616,7,508.18,1,0,Urban,1,Web,Discount,0,9.726584091
623,5,30.59,0,1,Urban,1,Web,Discount,0,9.909143518
635,2,50.37,1,0,Urban,0,Phone,Discount,0,10.77917726
639,2,186.51,0,1,Surburban,0,Phone,Discount,0,18.32902291
640,9,433.89,0,1,Rural,0,Phone,Discount,0,8.443349594
643,2,44.37,0,1,Surburban,0,Web,Discount,0,15.95992635
650,2,202.92,0,1,Surburban,0,Phone,Discount,0,12.88198216
654,10,226.15,0,1,Surburban,1,Multichannel,Discount,0,8.919329047
657,6,549.78,1,0,Surburban,1,Web,Discount,0,9.197036914
661,4,316.87,0,1,Urban,1,Web,Discount,0,13.15956661
663,2,210.51,0,1,Urban,0,Phone,Discount,1,28.01396268
664,9,301.15,1,1,Surburban,0,Phone,Discount,1,29.97187762
666,9,29.99,0,1,Surburban,1,Web,Discount,0,9.646677674
673,4,209.79,0,1,Rural,0,Multichannel,Discount,1,25.88572701
674,3,34.22,1,0,Urban,1,Phone,Discount,0,6.275745843
688,6,97.9,0,1,Surburban,1,Phone,Discount,0,8.515616456
690,12,88.65,1,0,Surburban,0,Web,Discount,0,4.251534374
694,7,157.63,1,0,Urban,1,Phone,Discount,0,12.82212067
695,3,29.99,0,1,Urban,1,Phone,Discount,0,12.11366702
696,10,119.63,0,1,Rural,0,Web,Discount,0,14.65779002
702,2,458.41,0,1,Surburban,0,Multichannel,Discount,0,11.42080708
703,5,135.64,1,0,Urban,0,Web,Discount,0,8.857808645
708,1,525.42,0,1,Urban,1,Phone,Discount,0,4.970732197
709,1,303.34,1,1,Urban,0,Web,Discount,1,27.96969229
710,5,50.63,1,0,Urban,0,Phone,Discount,0,10.74987379
714,6,333.21,1,0,Urban,1,Phone,Discount,0,13.2130571
715,2,584.37,1,0,Urban,1,Multichannel,Discount,1,24.03603242
718,4,53.42,0,1,Surburban,0,Phone,Discount,0,9.116954162
724,6,178.37,1,0,Surburban,1,Web,Discount,1,27.73409127
730,2,675.88,1,1,Urban,1,Phone,Discount,0,9.326863866
737,7,340.72,1,0,Urban,0,Web,Discount,0,8.965077956
738,9,100.86,1,0,Surburban,1,Phone,Discount,0,5.460534028
745,2,243.5,1,1,Surburban,0,Phone,Discount,0,5.94133921
746,8,58.28,0,1,Urban,0,Phone,Discount,0,14.90830886
748,3,222.8,1,0,Urban,0,Web,Discount,0,17.02589995
749,1,29.99,1,0,Rural,1,Web,Discount,0,17.08602259
751,6,105.87,1,0,Surburban,1,Web,Discount,0,9.9180592
756,1,29.99,1,0,Surburban,0,Web,Discount,1,19.30544885
759,10,300.6,1,1,Urban,0,Multichannel,Discount,0,16.18942156
768,2,518.53,0,1,Surburban,1,Phone,Discount,1,27.36471428
769,3,454,0,1,Urban,0,Multichannel,Discount,0,13.24658476
775,1,406.33,0,1,Surburban,0,Web,Discount,0,10.44303114
776,11,98.05,0,1,Surburban,1,Web,Discount,0,13.32305408
784,10,33.57,1,0,Urban,0,Phone,Discount,0,5.86737738
786,1,382.15,0,1,Urban,0,Phone,Discount,1,29.03788144
787,5,63.2,0,1,Rural,0,Phone,Discount,0,8.714812161
789,3,123.2,1,0,Urban,1,Phone,Discount,0,11.83141918
792,9,46.56,1,0,Surburban,0,Web,Discount,1,23.70089953
797,2,180.48,1,0,Urban,0,Phone,Discount,0,11.05344862
798,7,139.53,0,1,Surburban,1,Phone,Discount,0,9.720836117
804,2,424.44,0,1,Urban,0,Phone,Discount,0,14.26565977
806,1,804.15,1,1,Surburban,1,Multichannel,Discount,1,21.28325839
807,11,85.29,0,1,Surburban,0,Phone,Discount,0,13.11712106
809,4,307.66,1,0,Urban,1,Web,Discount,1,21.26686856
810,11,123.25,1,0,Surburban,0,Web,Discount,0,7.963650712
812,3,261.43,0,1,Urban,1,Web,Discount,0,4.026303233
817,1,143.84,0,1,Rural,1,Phone,Discount,0,9.448522268
820,9,152.55,0,1,Rural,1,Phone,Discount,0,12.60753562
822,9,314.36,0,1,Urban,0,Phone,Discount,0,18.83298401
826,6,29.99,0,1,Urban,0,Phone,Discount,0,14.48332224
828,9,718.97,0,1,Rural,1,Multichannel,Discount,0,12.31606266
834,5,29.99,0,1,Rural,1,Web,Discount,0,8.731955944
835,10,110.84,1,0,Surburban,0,Phone,Discount,0,11.95882406
836,10,312.03,0,1,Rural,0,Web,Discount,0,10.74294
837,5,258.91,0,1,Urban,1,Web,Discount,1,27.61798205
838,2,101.67,1,0,Surburban,1,Web,Discount,0,17.83851446
840,1,114.68,1,0,Rural,0,Web,Discount,0,14.75912317
843,8,37.74,0,1,Surburban,1,Phone,Discount,0,8.4982043
846,7,29.99,1,0,Urban,1,Phone,Discount,0,9.17582227
851,4,99.39,1,0,Surburban,0,Phone,Discount,0,13.15498809
854,7,213.26,1,1,Urban,1,Phone,Discount,0,9.954443241
855,12,159.93,1,0,Urban,0,Phone,Discount,0,9.278167207
856,3,70.91,0,1,Urban,1,Web,Discount,0,12.0698915
859,9,173.88,0,1,Surburban,0,Phone,Discount,1,17.93174691
860,9,428.99,1,0,Urban,0,Multichannel,Discount,0,15.08257253
861,8,492.53,1,1,Rural,1,Phone,Discount,0,12.09249579
863,1,81.12,0,1,Urban,0,Web,Discount,1,15.72891948
870,10,56.6,1,0,Urban,0,Phone,Discount,0,16.00463412
875,1,249.24,0,1,Urban,1,Multichannel,Discount,0,3.54801411
877,2,122.01,0,1,Urban,1,Web,Discount,0,15.94839493
883,1,283.63,0,1,Surburban,1,Phone,Discount,0,4.397299584
885,4,116.37,1,0,Urban,0,Web,Discount,0,5.81957853
887,11,82.57,1,0,Surburban,0,Phone,Discount,1,28.60097868
891,10,167.85,0,1,Surburban,0,Web,Discount,0,11.14773057
894,7,662.26,1,0,Urban,1,Multichannel,Discount,0,13.63082349
896,6,109.99,1,0,Urban,1,Web,Discount,0,7.954799921
898,3,816.52,1,1,Urban,1,Phone,Discount,0,12.13191059
900,7,96.76,1,0,Urban,1,Web,Discount,0,11.98676845
901,9,72.97,1,0,Urban,1,Web,Discount,0,6.112379801
904,7,29.99,1,0,Urban,0,Web,Discount,0,6.808681054
907,11,133.15,1,0,Urban,1,Phone,Discount,0,14.54529667
909,9,151.22,1,0,Urban,0,Phone,Discount,0,8.936339596
912,3,106.7,1,0,Urban,0,Phone,Discount,1,11.72884131
923,8,51.71,1,0,Rural,0,Web,Discount,1,21.80373019
924,9,61.26,0,1,Urban,0,Phone,Discount,0,12.97147863
929,8,29.99,1,0,Urban,0,Phone,Discount,0,7.803221755
932,8,216.61,1,1,Urban,1,Phone,Discount,0,0.512261965
933,8,668.22,1,1,Urban,1,Phone,Discount,1,28.83184008
934,4,133.51,1,0,Urban,1,Phone,Discount,0,6.427942103
936,11,51.84,1,0,Urban,0,Web,Discount,0,8.106359545
938,6,29.99,0,1,Urban,1,Web,Discount,0,10.11406684
941,3,111.42,1,0,Surburban,1,Web,Discount,0,1.227719483
951,1,487.47,1,0,Urban,0,Phone,Discount,1,23.70790029
953,9,180.37,0,1,Surburban,0,Web,Discount,0,6.373815859
954,2,516.56,0,1,Surburban,1,Phone,Discount,0,9.366989941
960,4,553.91,0,1,Rural,1,Phone,Discount,1,17.40829631
961,4,85.84,1,0,Surburban,1,Web,Discount,0,7.640276181
962,1,42.86,1,0,Urban,1,Web,Discount,0,5.694815227
966,1,304.38,1,0,Surburban,0,Web,Discount,0,15.34352066
969,7,149.34,1,0,Urban,0,Phone,Discount,1,22.22412452
973,5,403.95,0,1,Rural,0,Web,Discount,0,7.735777894
975,4,412.95,1,0,Urban,0,Web,Discount,0,12.09088833
976,8,254.17,1,1,Urban,0,Multichannel,Discount,0,17.75528233
980,1,29.99,0,1,Surburban,0,Phone,Discount,1,18.24300122
981,2,29.99,1,0,Surburban,1,Phone,Discount,0,12.04924343
984,6,33.23,1,0,Rural,0,Web,Discount,0,10.9760441
989,9,29.99,1,0,Surburban,1,Web,Discount,0,14.63454943
990,5,29.99,1,0,Surburban,0,Web,Discount,0,10.86395312
993,5,253.1,0,1,Urban,1,Phone,Discount,0,9.501811626
994,4,39.2,1,0,Urban,1,Web,Discount,0,11.36502951
997,1,269.99,1,1,Urban,0,Multichannel,Discount,0,3.42380426
998,2,48.16,0,1,Urban,0,Web,Discount,1,22.66892446
1005,3,286.27,1,0,Surburban,0,Multichannel,Discount,0,12.05777836
1012,4,575.31,0,1,Urban,1,Web,Discount,0,18.65333842
1020,4,323.02,0,1,Surburban,0,Web,Discount,0,6.058858974
1021,10,406.53,0,1,Surburban,0,Multichannel,Discount,0,14.71560787
1025,3,125.23,1,0,Surburban,0,Web,Discount,0,11.55823788
1034,2,126.66,0,1,Surburban,1,Phone,Discount,0,15.42735449
1036,6,29.99,0,1,Urban,1,Phone,Discount,0,11.75938987
1037,7,638.44,1,1,Rural,1,Web,Discount,0,6.198023622
1039,5,132.61,1,0,Rural,0,Web,Discount,0,10.25001413
1041,11,134.41,1,0,Surburban,1,Phone,Discount,0,7.807395151
1043,10,202.56,0,1,Urban,0,Phone,Discount,0,15.66832479
1045,3,263.14,1,1,Rural,0,Web,Discount,0,11.96341853
1047,9,59.89,1,0,Surburban,0,Web,Discount,0,13.136308
1053,9,29.99,1,0,Surburban,0,Phone,Discount,1,25.08278375
1054,1,187.79,0,1,Urban,1,Phone,Discount,0,11.578603
1056,2,29.99,1,0,Surburban,0,Phone,Discount,0,5.426786866
1057,10,93.7,0,1,Surburban,0,Phone,Discount,1,23.45948091
1065,4,545.6,0,1,Surburban,1,Web,Discount,0,3.563339055
1070,10,29.99,0,1,Surburban,1,Phone,Discount,0,10.95064429
1074,1,712.91,1,0,Surburban,1,Phone,Discount,0,12.43499221
1077,10,310.4,0,1,Rural,0,Web,Discount,0,6.422813408
1078,6,288.79,1,1,Surburban,0,Web,Discount,1,22.09240293
1082,10,397.69,1,0,Surburban,0,Phone,Discount,1,28.15590773
1084,11,267.12,0,1,Surburban,1,Phone,Discount,0,11.84734434
1086,1,36.69,0,1,Urban,1,Web,Discount,0,6.34212985
1090,1,114.49,0,1,Surburban,1,Web,Discount,0,13.46502603
1091,7,29.99,1,0,Rural,1,Web,Discount,0,12.11654661
1093,1,792.15,1,1,Surburban,1,Phone,Discount,1,19.96301442
1103,3,249.32,1,1,Surburban,0,Phone,Discount,1,23.44632915
1105,4,220.2,0,1,Urban,0,Web,Discount,0,13.81442434
1108,4,29.99,0,1,Rural,1,Web,Discount,0,17.88322241
1110,3,86.68,1,0,Surburban,1,Web,Discount,0,5.965363675
1124,8,126.22,1,0,Urban,0,Phone,Discount,0,7.297404699
1126,9,213.11,1,0,Surburban,0,Multichannel,Discount,0,10.54571161
1128,9,145.82,1,0,Surburban,0,Phone,Discount,0,24.9118589
1131,4,59.03,0,1,Urban,0,Web,Discount,1,19.30384701
1133,2,29.99,0,1,Urban,0,Web,Discount,0,11.3580783
1136,12,29.99,0,1,Urban,1,Web,Discount,0,10.69106289
1137,2,255.71,1,0,Surburban,0,Phone,Discount,0,9.746276482
1140,8,454.83,1,0,Surburban,0,Web,Discount,1,20.03441312
1143,10,348.22,0,1,Urban,0,Multichannel,Discount,0,13.64875202
1144,10,325.42,0,1,Urban,1,Multichannel,Discount,0,2.034409112
1145,6,101.77,1,0,Rural,1,Phone,Discount,0,10.94137629
1147,3,216.25,1,0,Urban,0,Web,Discount,0,10.27244577
1152,11,29.99,1,0,Surburban,0,Web,Discount,1,22.26499915
1153,7,259.23,1,0,Surburban,0,Phone,Discount,0,9.724844114
1154,2,35.47,1,0,Surburban,0,Web,Discount,0,15.65387494
1156,12,29.99,1,0,Urban,1,Phone,Discount,0,11.74880118
1158,1,230.03,0,1,Surburban,0,Phone,Discount,0,9.325588114
1161,10,301.01,0,1,Urban,0,Phone,Discount,1,21.06115615
1162,11,81.14,1,0,Urban,0,Phone,Discount,0,9.877128768
1163,10,190.31,0,1,Urban,0,Web,Discount,0,9.432710446
1170,8,55.49,0,1,Rural,1,Phone,Discount,0,7.189883871
1174,10,29.99,0,1,Rural,1,Phone,Discount,0,8.87909546
1175,1,982.75,0,1,Urban,1,Multichannel,Discount,0,12.25923768
1176,5,587.16,0,1,Urban,1,Phone,Discount,0,15.7029685
1177,9,90.93,0,1,Rural,1,Phone,Discount,0,9.836800009
1180,1,29.99,1,0,Rural,0,Web,Discount,0,7.623466871
1181,9,35.89,1,0,Surburban,0,Phone,Discount,0,15.99297655
1184,6,218.35,0,1,Urban,1,Web,Discount,0,15.78101316
1185,10,68.35,1,0,Rural,0,Phone,Discount,0,12.50261021
1187,9,74.16,1,0,Urban,1,Web,Discount,0,10.91982051
1190,3,143.19,0,1,Surburban,1,Phone,Discount,0,4.177635507
1192,11,45.84,1,0,Urban,1,Web,Discount,1,24.88186742
1197,3,29.99,0,1,Urban,0,Web,Discount,0,6.277364356
1200,1,819.96,0,1,Urban,1,Web,Discount,0,14.75618009
1201,1,385.47,0,1,Surburban,0,Web,Discount,0,8.036105976
1203,7,48.47,1,0,Rural,1,Phone,Discount,1,25.18486269
1204,2,1351.46,0,1,Rural,1,Web,Discount,0,5.917380317
1206,1,399.45,0,1,Surburban,1,Phone,Discount,0,7.324364
1208,10,675.87,1,1,Surburban,1,Multichannel,Discount,0,2.356875415
1209,11,96.51,1,0,Urban,1,Web,Discount,0,7.569926414
1211,9,127.41,0,1,Urban,0,Web,Discount,0,8.371996525
1213,10,29.99,0,1,Surburban,1,Phone,Discount,0,8.36285668
1219,2,366.26,0,1,Surburban,0,Multichannel,Discount,0,17.2375427
1221,3,1234.86,1,1,Rural,1,Web,Discount,0,7.939104153
1222,6,788.76,1,0,Urban,1,Multichannel,Discount,1,17.76600965
1224,4,219.68,0,1,Urban,0,Web,Discount,1,26.39097305
1225,7,614.57,1,0,Surburban,1,Web,Discount,0,5.956086073
